,Unnamed: 0,date,county,state,fips,cases_cumm,deaths_cumm,cases_new,deaths_new
9480,9480,2020-03-24,Autauga,Alabama,1001.0,1,0,0.0,0.0
10835,10835,2020-03-25,Autauga,Alabama,1001.0,4,0,3.0,0.0
12367,12367,2020-03-26,Autauga,Alabama,1001.0,6,0,2.0,0.0
14025,14025,2020-03-27,Autauga,Alabama,1001.0,6,0,0.0,0.0
15803,15803,2020-03-28,Autauga,Alabama,1001.0,6,0,0.0,0.0
17686,17686,2020-03-29,Autauga,Alabama,1001.0,6,0,0.0,0.0
19655,19655,2020-03-30,Autauga,Alabama,1001.0,7,0,1.0,0.0
21727,21727,2020-03-31,Autauga,Alabama,1001.0,7,0,0.0,0.0
23880,23880,2020-04-01,Autauga,Alabama,1001.0,10,0,3.0,0.0
26101,26101,2020-04-02,Autauga,Alabama,1001.0,10,0,0.0,0.0
28396,28396,2020-04-03,Autauga,Alabama,1001.0,12,0,2.0,0.0
30753,30753,2020-04-04,Autauga,Alabama,1001.0,12,0,0.0,0.0
33157,33157,2020-04-05,Autauga,Alabama,1001.0,12,0,0.0,0.0
35596,35596,2020-04-06,Autauga,Alabama,1001.0,12,1,0.0,1.0
38084,38084,2020-04-07,Autauga,Alabama,1001.0,12,1,0.0,0.0
40626,40626,2020-04-08,Autauga,Alabama,1001.0,12,1,0.0,0.0
43199,43199,2020-04-09,Autauga,Alabama,1001.0,17,1,5.0,0.0
45797,45797,2020-04-10,Autauga,Alabama,1001.0,17,1,0.0,0.0
48426,48426,2020-04-11,Autauga,Alabama,1001.0,19,1,2.0,0.0
51087,51087,2020-04-12,Autauga,Alabama,1001.0,19,1,0.0,0.0
53765,53765,2020-04-13,Autauga,Alabama,1001.0,19,1,0.0,0.0
56457,56457,2020-04-14,Autauga,Alabama,1001.0,23,1,4.0,0.0
59165,59165,2020-04-15,Autauga,Alabama,1001.0,25,1,2.0,0.0
61883,61883,2020-04-16,Autauga,Alabama,1001.0,25,2,0.0,1.0
64616,64616,2020-04-17,Autauga,Alabama,1001.0,26,2,1.0,0.0
67364,67364,2020-04-18,Autauga,Alabama,1001.0,25,2,-1.0,0.0
70126,70126,2020-04-19,Autauga,Alabama,1001.0,27,2,2.0,0.0
72895,72895,2020-04-20,Autauga,Alabama,1001.0,28,1,1.0,-1.0
75671,75671,2020-04-21,Autauga,Alabama,1001.0,30,1,2.0,0.0
78454,78454,2020-04-22,Autauga,Alabama,1001.0,32,2,2.0,1.0
81247,81247,2020-04-23,Autauga,Alabama,1001.0,33,2,1.0,0.0
84048,84048,2020-04-24,Autauga,Alabama,1001.0,36,2,3.0,0.0
86856,86856,2020-04-25,Autauga,Alabama,1001.0,37,2,1.0,0.0
89672,89672,2020-04-26,Autauga,Alabama,1001.0,37,2,0.0,0.0
92490,92490,2020-04-27,Autauga,Alabama,1001.0,39,3,2.0,1.0
95320,95320,2020-04-28,Autauga,Alabama,1001.0,40,4,1.0,1.0
98165,98165,2020-04-29,Autauga,Alabama,1001.0,43,4,3.0,0.0
101015,101015,2020-04-30,Autauga,Alabama,1001.0,42,4,-1.0,0.0
103870,103870,2020-05-01,Autauga,Alabama,1001.0,42,3,0.0,-1.0
106735,106735,2020-05-02,Autauga,Alabama,1001.0,45,3,3.0,0.0
109604,109604,2020-05-03,Autauga,Alabama,1001.0,48,3,3.0,0.0
112479,112479,2020-05-04,Autauga,Alabama,1001.0,53,3,5.0,0.0
115362,115362,2020-05-05,Autauga,Alabama,1001.0,53,3,0.0,0.0
118321,118321,2020-05-06,Autauga,Alabama,1001.0,58,3,5.0,0.0
121287,121287,2020-05-07,Autauga,Alabama,1001.0,61,3,3.0,0.0
124267,124267,2020-05-08,Autauga,Alabama,1001.0,67,4,6.0,1.0
127252,127252,2020-05-09,Autauga,Alabama,1001.0,68,4,1.0,0.0
130242,130242,2020-05-10,Autauga,Alabama,1001.0,74,4,6.0,0.0
133232,133232,2020-05-11,Autauga,Alabama,1001.0,84,4,10.0,0.0
136222,136222,2020-05-12,Autauga,Alabama,1001.0,91,4,7.0,0.0
139213,139213,2020-05-13,Autauga,Alabama,1001.0,93,4,2.0,0.0
142209,142209,2020-05-14,Autauga,Alabama,1001.0,104,4,11.0,0.0
145208,145208,2020-05-15,Autauga,Alabama,1001.0,103,4,-1.0,0.0
148211,148211,2020-05-16,Autauga,Alabama,1001.0,110,4,7.0,0.0
151220,151220,2020-05-17,Autauga,Alabama,1001.0,110,4,0.0,0.0
154232,154232,2020-05-18,Autauga,Alabama,1001.0,120,4,10.0,0.0
157248,157248,2020-05-19,Autauga,Alabama,1001.0,127,4,7.0,0.0
160272,160272,2020-05-20,Autauga,Alabama,1001.0,136,3,9.0,-1.0
163300,163300,2020-05-21,Autauga,Alabama,1001.0,147,3,11.0,0.0
166332,166332,2020-05-22,Autauga,Alabama,1001.0,149,3,2.0,0.0
169368,169368,2020-05-23,Autauga,Alabama,1001.0,155,3,6.0,0.0
172409,172409,2020-05-24,Autauga,Alabama,1001.0,159,3,4.0,0.0
175452,175452,2020-05-25,Autauga,Alabama,1001.0,168,3,9.0,0.0
178497,178497,2020-05-26,Autauga,Alabama,1001.0,189,3,21.0,0.0
181541,181541,2020-05-27,Autauga,Alabama,1001.0,192,3,3.0,0.0
184593,184593,2020-05-28,Autauga,Alabama,1001.0,205,3,13.0,0.0
187650,187650,2020-05-29,Autauga,Alabama,1001.0,212,3,7.0,0.0
190714,190714,2020-05-30,Autauga,Alabama,1001.0,216,4,4.0,1.0
193780,193780,2020-05-31,Autauga,Alabama,1001.0,221,4,5.0,0.0
196850,196850,2020-06-01,Autauga,Alabama,1001.0,234,5,13.0,1.0
199923,199923,2020-06-02,Autauga,Alabama,1001.0,240,5,6.0,0.0
202999,202999,2020-06-03,Autauga,Alabama,1001.0,240,5,0.0,0.0
206078,206078,2020-06-04,Autauga,Alabama,1001.0,242,5,2.0,0.0
209160,209160,2020-06-05,Autauga,Alabama,1001.0,249,5,7.0,0.0
212246,212246,2020-06-06,Autauga,Alabama,1001.0,260,5,11.0,0.0
215334,215334,2020-06-07,Autauga,Alabama,1001.0,266,5,6.0,0.0
218425,218425,2020-06-08,Autauga,Alabama,1001.0,273,5,7.0,0.0
221518,221518,2020-06-09,Autauga,Alabama,1001.0,283,5,10.0,0.0
224615,224615,2020-06-10,Autauga,Alabama,1001.0,296,6,13.0,1.0
227718,227718,2020-06-11,Autauga,Alabama,1001.0,316,6,20.0,0.0
230823,230823,2020-06-12,Autauga,Alabama,1001.0,327,6,11.0,0.0
233930,233930,2020-06-13,Autauga,Alabama,1001.0,335,6,8.0,0.0
237038,237038,2020-06-14,Autauga,Alabama,1001.0,361,6,26.0,0.0
240147,240147,2020-06-15,Autauga,Alabama,1001.0,368,6,7.0,0.0
243259,243259,2020-06-16,Autauga,Alabama,1001.0,373,7,5.0,1.0
246373,246373,2020-06-17,Autauga,Alabama,1001.0,375,7,2.0,0.0
249486,249486,2020-06-18,Autauga,Alabama,1001.0,400,8,25.0,1.0
252602,252602,2020-06-19,Autauga,Alabama,1001.0,411,8,11.0,0.0
255722,255722,2020-06-20,Autauga,Alabama,1001.0,431,9,20.0,1.0
258850,258850,2020-06-21,Autauga,Alabama,1001.0,434,9,3.0,0.0
261978,261978,2020-06-22,Autauga,Alabama,1001.0,442,9,8.0,0.0
265108,265108,2020-06-23,Autauga,Alabama,1001.0,453,9,11.0,0.0
268239,268239,2020-06-24,Autauga,Alabama,1001.0,469,11,16.0,2.0
271374,271374,2020-06-25,Autauga,Alabama,1001.0,479,11,10.0,0.0
274515,274515,2020-06-26,Autauga,Alabama,1001.0,488,11,9.0,0.0
277664,277664,2020-06-27,Autauga,Alabama,1001.0,498,12,10.0,1.0
280813,280813,2020-06-28,Autauga,Alabama,1001.0,503,12,5.0,0.0
283961,283961,2020-06-29,Autauga,Alabama,1001.0,527,12,24.0,0.0
287109,287109,2020-06-30,Autauga,Alabama,1001.0,537,12,10.0,0.0
290261,290261,2020-07-01,Autauga,Alabama,1001.0,553,12,16.0,0.0
293415,293415,2020-07-02,Autauga,Alabama,1001.0,561,13,8.0,1.0
296571,296571,2020-07-03,Autauga,Alabama,1001.0,568,13,7.0,0.0
299734,299734,2020-07-04,Autauga,Alabama,1001.0,591,13,23.0,0.0
302899,302899,2020-07-05,Autauga,Alabama,1001.0,615,13,24.0,0.0
306064,306064,2020-07-06,Autauga,Alabama,1001.0,618,13,3.0,0.0
309234,309234,2020-07-07,Autauga,Alabama,1001.0,644,13,26.0,0.0
312404,312404,2020-07-08,Autauga,Alabama,1001.0,651,13,7.0,0.0
315580,315580,2020-07-09,Autauga,Alabama,1001.0,661,14,10.0,1.0
318754,318754,2020-07-10,Autauga,Alabama,1001.0,670,15,9.0,1.0
321934,321934,2020-07-11,Autauga,Alabama,1001.0,684,15,14.0,0.0
325116,325116,2020-07-12,Autauga,Alabama,1001.0,706,16,22.0,1.0
328303,328303,2020-07-13,Autauga,Alabama,1001.0,728,16,22.0,0.0
331490,331490,2020-07-14,Autauga,Alabama,1001.0,746,18,18.0,2.0
334684,334684,2020-07-15,Autauga,Alabama,1001.0,756,19,10.0,1.0
337880,337880,2020-07-16,Autauga,Alabama,1001.0,780,20,24.0,1.0
341077,341077,2020-07-17,Autauga,Alabama,1001.0,789,21,9.0,1.0
344277,344277,2020-07-18,Autauga,Alabama,1001.0,827,21,38.0,0.0
347478,347478,2020-07-19,Autauga,Alabama,1001.0,842,21,15.0,0.0
350680,350680,2020-07-20,Autauga,Alabama,1001.0,857,21,15.0,0.0
353883,353883,2020-07-21,Autauga,Alabama,1001.0,865,21,8.0,0.0
357087,357087,2020-07-22,Autauga,Alabama,1001.0,886,21,21.0,0.0
360293,360293,2020-07-23,Autauga,Alabama,1001.0,905,21,19.0,0.0
363500,363500,2020-07-24,Autauga,Alabama,1001.0,921,21,16.0,0.0
366707,366707,2020-07-25,Autauga,Alabama,1001.0,932,21,11.0,0.0
369917,369917,2020-07-26,Autauga,Alabama,1001.0,942,21,10.0,0.0
373129,373129,2020-07-27,Autauga,Alabama,1001.0,965,21,23.0,0.0
376343,376343,2020-07-28,Autauga,Alabama,1001.0,974,21,9.0,0.0
379559,379559,2020-07-29,Autauga,Alabama,1001.0,987,21,13.0,0.0
382776,382776,2020-07-30,Autauga,Alabama,1001.0,1002,21,15.0,0.0
385994,385994,2020-07-31,Autauga,Alabama,1001.0,1015,21,13.0,0.0
389211,389211,2020-08-01,Autauga,Alabama,1001.0,1030,21,15.0,0.0
392428,392428,2020-08-02,Autauga,Alabama,1001.0,1052,21,22.0,0.0
