,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
0,2020-12-02,AK,697,6015,164.0,122.0,0,32531.0,11.587697423108894,0.37502689742092155,0.03750268974209216
1,2020-12-02,AL,3928,9681,1801.0,3711.0,73,256828.0,40.57432083462452,1.4449359104147523,0.14449359104147524
2,2020-12-02,AR,2212,11813,1088.0,2522.0,10,161521.0,18.725133327689832,1.5614068758861077,0.15614068758861077
3,2020-12-02,AS,0,0,,0.0,0,0.0,,,
4,2020-12-02,AZ,3840,16290,2699.0,6739.0,52,340979.0,23.572744014732965,1.9763680461260078,0.19763680461260075
5,2020-12-02,CA,20759,137813,9365.0,19324.0,113,1245948.0,15.063165303708647,1.5509475515832123,0.15509475515832122
6,2020-12-02,CO,3862,33359,1995.0,2708.0,13,241172.0,11.57708564405408,1.1228500820990828,0.11228500820990829
7,2020-12-02,CT,2672,41230,1202.0,5091.0,51,121426.0,6.480717923841863,4.192677021395747,0.4192677021395747
8,2020-12-02,DC,157,4076,165.0,690.0,5,21842.0,3.851815505397448,3.1590513689222597,0.315905136892226
9,2020-12-02,DE,355,3851,273.0,779.0,2,36698.0,9.218384835107765,2.122731484004578,0.21227314840045777
10,2020-12-02,FL,9890,98399,4248.0,19012.0,96,1001800.0,10.050915151576744,1.8977839888201238,0.18977839888201237
11,2020-12-02,GA,4051,23997,2644.0,9567.0,52,428980.0,16.88127682626995,2.2301739008811596,0.223017390088116
12,2020-12-02,GU,31,448,38.0,112.0,0,6920.0,6.919642857142858,1.6184971098265895,0.16184971098265896
13,2020-12-02,HI,76,4281,54.0,244.0,0,18342.0,1.7752861480962394,1.33028023116345,0.133028023116345
14,2020-12-02,IA,2375,5037,1162.0,2449.0,18,205773.0,47.151081993249946,1.1901464234860744,0.11901464234860745
15,2020-12-02,ID,1607,2572,446.0,960.0,31,103305.0,62.48055987558321,0.9292870625816756,0.09292870625816756
16,2020-12-02,IL,9757,85507,5764.0,13397.0,266,748603.0,11.410761692025215,1.7896000951104927,0.17896000951104926
